[2020-01-07 15:06:15:257]   Start Server Succeed 
[2020-01-07 15:06:15:258]   Listen Succeed 
[2020-01-07 15:06:22:454]   Database connection success ! 
[2020-01-07 15:06:22:458]   localIP =  127.0.0.1
[2020-01-07 15:06:22:459]   ReadWorkerParam strQuery =  SELECT  table_station.ToolPara , table_station.DefectDefine, table_station.DefectScreening, table_station.Features,  table_config.NowProName,   				table_config.NowBatchName, table_config.DiskSpaceAlarm, table_config.DiskSpaceDelete ,  table_config.SysOnLine, table_config.SysLang,  				table_config.SaveOKImg, table_config.SaveNGImg, table_config.SaveCompressedOKImg, table_config.SaveCompressedNGImg, table_config.AlgorithmOnOrOff, table_config.SamplingCompressedImg,					table_config.StationDynamic FROM table_station, table_config  WHERE table_config.NowProName = table_station.ProName AND table_station.IP = '127.0.0.1'; 
[2020-01-07 15:06:22:459]   ReadFeaturePara strLang =  ITO◊¯±Í1#ITO◊¯±Í2#ITOœﬂ≥§∂»#∏ˆ ˝#æ‡¿Î
[2020-01-07 15:06:22:522]   Camera start connect...  
[2020-01-07 15:06:35:423]   Send Data #ReadyOK@ 
[2020-01-07 15:06:35:423]   Camera connect sucess 
[2020-01-07 15:09:05:813]    defectInfo =  2272,1211
[2020-01-07 15:09:05:813]    defectInfo =  44.000057
[2020-01-07 15:09:05:813]    defectInfoNum =  51
[2020-01-07 15:09:05:813]    defectInfo =  1992,1226
[2020-01-07 15:09:05:813]    defectInfo =  1986,1217
[2020-01-07 15:09:05:813]    defectInfo =  11.000040
[2020-01-07 15:09:05:813]    defectInfoNum =  52
[2020-01-07 15:09:05:813]    defectInfo =  2216,1243
[2020-01-07 15:09:05:813]    defectInfo =  2200,1218
[2020-01-07 15:09:05:813]    defectInfo =  30.000050
[2020-01-07 15:09:05:813]    defectInfoNum =  53
[2020-01-07 15:09:05:813]    defectInfo =  2321,1261
[2020-01-07 15:09:05:814]    defectInfo =  2302,1233
[2020-01-07 15:09:05:814]    defectInfo =  34.014645
[2020-01-07 15:09:05:814]    defectInfoNum =  54
[2020-01-07 15:09:05:814]    defectInfo =  2274,1263
[2020-01-07 15:09:05:814]    defectInfo =  2255,1235
[2020-01-07 15:09:05:814]    defectInfo =  34.014713
[2020-01-07 15:09:05:814]    defectInfoNum =  55
[2020-01-07 15:09:05:814]    defectInfo =  2067,1252
[2020-01-07 15:09:05:814]    defectInfo =  2055,1235
[2020-01-07 15:09:05:814]    defectInfo =  21.023817
[2020-01-07 15:09:05:814]    defectInfoNum =  56
[2020-01-07 15:09:05:814]    defectInfo =  2036,1250
[2020-01-07 15:09:05:814]    defectInfo =  2028,1237
[2020-01-07 15:09:05:814]    defectInfo =  15.999990
[2020-01-07 15:09:05:814]    defectInfoNum =  57
[2020-01-07 15:09:05:814]    defectInfo =  2025,1279
[2020-01-07 15:09:05:814]    defectInfo =  2007,1250
[2020-01-07 15:09:05:814]    defectInfo =  33.999958
[2020-01-07 15:09:05:814]    defectInfoNum =  58
[2020-01-07 15:09:05:814]    defectInfo =  2234,1272
[2020-01-07 15:09:05:814]    defectInfo =  2222,1252
[2020-01-07 15:09:05:814]    defectInfo =  22.999937
[2020-01-07 15:09:05:814]    defectInfoNum =  59
[2020-01-07 15:09:05:814]    defectInfo =  2331,1305
[2020-01-07 15:09:05:814]    defectInfo =  2303,1260
[2020-01-07 15:09:05:814]    defectInfo =  53.000050
[2020-01-07 15:09:05:814]    defectInfoNum =  60
[2020-01-07 15:09:05:814]    defectInfo =  2097,1300
[2020-01-07 15:09:05:814]    defectInfo =  2073,1262
[2020-01-07 15:09:05:814]    defectInfo =  44.999996
[2020-01-07 15:09:05:814]    defectInfoNum =  61
[2020-01-07 15:09:05:814]    defectInfo =  2362,1296
[2020-01-07 15:09:05:814]    defectInfo =  2359,1291
[2020-01-07 15:09:05:814]    defectInfo =  6.000038
[2020-01-07 15:09:05:814]    defectInfoNum =  62
[2020-01-07 15:09:05:814]    defectInfo =  2305,1312
[2020-01-07 15:09:05:814]    defectInfo =  2293,1293
[2020-01-07 15:09:05:814]    defectInfo =  23.000051
[2020-01-07 15:09:05:814]    defectInfoNum =  63
[2020-01-07 15:09:05:814]    defectInfo =  2054,1326
[2020-01-07 15:09:05:814]    defectInfo =  2050,1319
[2020-01-07 15:09:05:814]    defectInfo =  8.999992
[2020-01-07 15:09:05:814]    defectInfoNum =  64
[2020-01-07 15:09:05:814]    defectInfo =  1917,1373
[2020-01-07 15:09:05:814]    defectInfo =  1894,1336
[2020-01-07 15:09:05:814]    defectInfo =  44.000027
[2020-01-07 15:09:05:814]    defectInfoNum =  65
[2020-01-07 15:09:05:814]    defectInfo =  1907,1397
[2020-01-07 15:09:05:814]    defectInfo =  1892,1374
[2020-01-07 15:09:05:814]    defectInfo =  27.018541
[2020-01-07 15:09:05:814]    defectInfoNum =  66
[2020-01-07 15:09:05:814]    defectInfo =  2054,1421
[2020-01-07 15:09:05:814]    defectInfo =  2044,1404
[2020-01-07 15:09:05:814]    defectInfo =  20.000032
[2020-01-07 15:09:05:814]    defectInfoNum =  67
[2020-01-07 15:09:05:814]    defectInfo =  2255,1478
[2020-01-07 15:09:05:814]    defectInfo =  2218,1418
[2020-01-07 15:09:05:814]    defectInfo =  70.000015
[2020-01-07 15:09:05:814]    defectInfoNum =  68
[2020-01-07 15:09:05:814]    defectInfo =  2072,1449
[2020-01-07 15:09:05:814]    defectInfo =  2061,1431
[2020-01-07 15:09:05:814]    defectInfo =  21.999945
[2020-01-07 15:09:05:814]    defectInfoNum =  69
[2020-01-07 15:09:05:814]    defectInfo =  2217,1447
[2020-01-07 15:09:05:814]    defectInfo =  2211,1438
[2020-01-07 15:09:05:814]    defectInfo =  10.999989
[2020-01-07 15:09:05:814]    defectInfoNum =  70
[2020-01-07 15:09:05:814]    defectInfo =  2254,1554
[2020-01-07 15:09:05:814]    defectInfo =  2180,1440
[2020-01-07 15:09:05:814]    defectInfo =  136.033081
[2020-01-07 15:09:05:814]    defectInfoNum =  71
[2020-01-07 15:09:05:814]    defectInfo =  2022,1481
[2020-01-07 15:09:05:814]    defectInfo =  2002,1448
[2020-01-07 15:09:05:814]    defectInfo =  37.999969
[2020-01-07 15:09:05:814]    defectInfoNum =  72
[2020-01-07 15:09:05:814]    defectInfo =  2358,1477
[2020-01-07 15:09:05:814]    defectInfo =  2341,1450
[2020-01-07 15:09:05:814]    defectInfo =  31.999992
[2020-01-07 15:09:05:814]    defectInfoNum =  73
[2020-01-07 15:09:05:814]    defectInfo =  2255,1508
[2020-01-07 15:09:05:814]    defectInfo =  2223,1456
[2020-01-07 15:09:05:814]    defectInfo =  62.000042
[2020-01-07 15:09:05:814]    defectInfoNum =  74
[2020-01-07 15:09:05:814]    defectInfo =  2195,1502
[2020-01-07 15:09:05:814]    defectInfo =  2177,1478
[2020-01-07 15:09:05:814]    defectInfo =  29.068911
[2020-01-07 15:09:05:814]    defectInfoNum =  75
[2020-01-07 15:09:05:814]    defectInfo =  2315,1493
[2020-01-07 15:09:05:814]    defectInfo =  2311,1486
[2020-01-07 15:09:05:814]    defectInfo =  8.000021
[2020-01-07 15:09:05:814]    defectInfoNum =  76
[2020-01-07 15:09:05:814]    defectInfo =  2004,1511
[2020-01-07 15:09:05:814]    defectInfo =  1990,1488
[2020-01-07 15:09:05:814]    defectInfo =  27.000029
[2020-01-07 15:09:05:814]    defectInfoNum =  77
[2020-01-07 15:09:05:814]    defectInfo =  2369,1498
[2020-01-07 15:09:05:814]    defectInfo =  2364,1489
[2020-01-07 15:09:05:814]    defectInfo =  11.045321
[2020-01-07 15:09:05:814]    defectInfoNum =  78
[2020-01-07 15:09:05:814]    defectInfo =  1979,1518
[2020-01-07 15:09:05:814]    defectInfo =  1966,1497
[2020-01-07 15:09:05:814]    defectInfo =  25.019955
[2020-01-07 15:09:05:814]    defectInfoNum =  79
[2020-01-07 15:09:05:814]    defectInfo =  2387,1528
[2020-01-07 15:09:05:814]    defectInfo =  2375,1508
[2020-01-07 15:09:05:814]    defectInfo =  23.021811
[2020-01-07 15:09:05:814]    defectInfoNum =  80
[2020-01-07 15:09:05:814]    defectInfo =  2027,1544
[2020-01-07 15:09:05:814]    defectInfo =  2011,1519
[2020-01-07 15:09:05:814]    defectInfo =  29.000025
[2020-01-07 15:09:05:814]    defectInfoNum =  81
[2020-01-07 15:09:05:814]    defectInfo =  2281,1550
[2020-01-07 15:09:05:814]    defectInfo =  2267,1526
[2020-01-07 15:09:05:814]    defectInfo =  28.000002
[2020-01-07 15:09:05:814]    defectInfoNum =  82
[2020-01-07 15:09:05:814]    defectInfo =  2231,1559
[2020-01-07 15:09:05:814]    defectInfo =  2225,1549
[2020-01-07 15:09:05:814]    defectInfo =  12.000012
[2020-01-07 15:09:05:814]    defectInfoNum =  83
[2020-01-07 15:09:05:814]    defectInfo =  2373,1585
[2020-01-07 15:09:05:814]    defectInfo =  2352,1551
[2020-01-07 15:09:05:814]    defectInfo =  39.999962
[2020-01-07 15:09:05:814]    defectInfoNum =  84
[2020-01-07 15:09:05:814]    defectInfo =  2210,1578
[2020-01-07 15:09:05:814]    defectInfo =  2197,1557
[2020-01-07 15:09:05:814]    defectInfo =  24.999983
[2020-01-07 15:09:05:814]    defectInfoNum =  85
[2020-01-07 15:09:05:814]    defectInfo =  2070,1611
[2020-01-07 15:09:05:814]    defectInfo =  2036,1559
[2020-01-07 15:09:05:814]    defectInfo =  62.008076
[2020-01-07 15:09:05:814]    defectInfoNum =  86
[2020-01-07 15:09:05:814]    defectInfo =  2294,1661
[2020-01-07 15:09:05:814]    defectInfo =  2239,1571
[2020-01-07 15:09:05:814]    defectInfo =  105.004807
[2020-01-07 15:09:05:814]    defectInfoNum =  87
[2020-01-07 15:09:05:814]    defectInfo =  2317,1654
[2020-01-07 15:09:05:814]    defectInfo =  2268,1576
[2020-01-07 15:09:05:814]    defectInfo =  91.999992
[2020-01-07 15:09:05:814]    defectInfoNum =  88
[2020-01-07 15:09:05:814]    defectInfo =  2312,1598
[2020-01-07 15:09:05:814]    defectInfo =  2300,1580
[2020-01-07 15:09:05:814]    defectInfo =  22.000029
[2020-01-07 15:09:05:814]    defectInfoNum =  89
[2020-01-07 15:09:05:814]    defectInfo =  2069,1669
[2020-01-07 15:09:05:814]    defectInfo =  2021,1591
[2020-01-07 15:09:05:814]    defectInfo =  92.000008
[2020-01-07 15:09:05:814]    defectInfoNum =  90
[2020-01-07 15:09:05:814]    defectInfo =  2352,1629
[2020-01-07 15:09:05:814]    defectInfo =  2334,1600
[2020-01-07 15:09:05:814]    defectInfo =  34.000042
[2020-01-07 15:09:05:814]    defectInfoNum =  91
[2020-01-07 15:09:05:814]    defectInfo =  2392,1614
[2020-01-07 15:09:05:814]    defectInfo =  2382,1600
[2020-01-07 15:09:05:814]    defectInfo =  17.029385
[2020-01-07 15:09:05:814]    defectInfoNum =  92
[2020-01-07 15:09:05:814]    defectInfo =  2369,1691
[2020-01-07 15:09:05:814]    defectInfo =  2325,1619
[2020-01-07 15:09:05:814]    defectInfo =  84.000061
[2020-01-07 15:09:05:814]    defectInfoNum =  93
[2020-01-07 15:09:05:814]    defectInfo =  2205,1658
[2020-01-07 15:09:05:814]    defectInfo =  2191,1634
[2020-01-07 15:09:05:814]    defectInfo =  27.018492
[2020-01-07 15:09:05:814]    defectInfoNum =  94
[2020-01-07 15:09:05:814]    defectInfo =  2256,1651
[2020-01-07 15:09:05:814]    defectInfo =  2247,1637
[2020-01-07 15:09:05:814]    defectInfo =  16.000002
[2020-01-07 15:09:05:814]    defectInfoNum =  95
[2020-01-07 15:09:05:814]    defectInfo =  2372,1662
[2020-01-07 15:09:05:814]    defectInfo =  2367,1653
[2020-01-07 15:09:05:814]    defectInfo =  10.000069
[2020-01-07 15:09:05:814]    defectInfoNum =  96
[2020-01-07 15:09:05:814]    defectInfo =  2288,1790
[2020-01-07 15:09:05:814]    defectInfo =  2219,1681
[2020-01-07 15:09:05:814]    defectInfo =  128.999985
[2020-01-07 15:09:05:814]    defectInfoNum =  97
[2020-01-07 15:09:05:814]    defectInfo =  2315,1748
[2020-01-07 15:09:05:814]    defectInfo =  2276,1682
[2020-01-07 15:09:05:814]    defectInfo =  77.006531
[2020-01-07 15:09:05:814]    defectInfoNum =  98
[2020-01-07 15:09:05:814]    defectInfo =  2346,1743
[2020-01-07 15:09:05:814]    defectInfo =  2331,1720
[2020-01-07 15:09:05:814]    defectInfo =  27.000082
[2020-01-07 15:09:05:814]    defectInfoNum =  99
[2020-01-07 15:09:05:814]    defectInfo =  2180,1788
[2020-01-07 15:09:05:814]    defectInfo =  2169,1771
[2020-01-07 15:09:05:814]    defectInfo =  20.000032
[2020-01-07 15:09:05:823]    NG Small Img Num = 0
[2020-01-07 15:09:05:823]    current Img ProductID = êgå
[2020-01-07 15:09:05:823]    NG Small Img Num = 1
[2020-01-07 15:09:05:823]    current Img ProductID = êgå
[2020-01-07 15:09:05:823]    NG Small Img Num = 2
[2020-01-07 15:09:05:823]    current Img ProductID = êgå
[2020-01-07 15:09:05:823]    NG Small Img Num = 3
[2020-01-07 15:09:05:823]    current Img ProductID = êgå
[2020-01-07 15:09:05:823]    NG Small Img Num = 4
[2020-01-07 15:09:05:823]    current Img ProductID = êgå
[2020-01-07 15:09:05:824]    NG Small Img Num = 5
[2020-01-07 15:09:05:824]    current Img ProductID = êgå
[2020-01-07 15:09:05:824]    NG Small Img Num = 6
[2020-01-07 15:09:05:824]    current Img ProductID = êgå
[2020-01-07 15:09:05:824]    NG Small Img Num = 7
[2020-01-07 15:09:05:824]    current Img ProductID = êgå
[2020-01-07 15:09:05:824]    NG Small Img Num = 8
[2020-01-07 15:09:05:824]    current Img ProductID = êgå
[2020-01-07 15:09:05:824]    NG Small Img Num = 9
[2020-01-07 15:09:05:824]    current Img ProductID = êgå
[2020-01-07 15:09:05:824]    NG Small Img Num = 10
[2020-01-07 15:09:05:824]    current Img ProductID = êgå
[2020-01-07 15:09:05:824]    NG Small Img Num = 11
[2020-01-07 15:09:05:824]    current Img ProductID = êgå
[2020-01-07 15:09:05:825]    NG Small Img Num = 12
[2020-01-07 15:09:05:825]    current Img ProductID = êgå
[2020-01-07 15:09:05:825]    NG Small Img Num = 13
[2020-01-07 15:09:05:825]    current Img ProductID = êgå
[2020-01-07 15:09:05:825]    NG Small Img Num = 14
[2020-01-07 15:09:05:825]    current Img ProductID = êgå
[2020-01-07 15:09:05:825]    NG Small Img Num = 15
[2020-01-07 15:09:05:825]    current Img ProductID = êgå
[2020-01-07 15:09:05:825]    NG Small Img Num = 16
[2020-01-07 15:09:05:825]    current Img ProductID = êgå
[2020-01-07 15:09:05:825]    NG Small Img Num = 17
[2020-01-07 15:09:05:825]    current Img ProductID = êgå
[2020-01-07 15:09:05:825]    NG Small Img Num = 18
[2020-01-07 15:09:05:825]    current Img ProductID = êgå
[2020-01-07 15:09:05:825]    NG Small Img Num = 19
[2020-01-07 15:09:05:825]    current Img ProductID = êgå
[2020-01-07 15:09:05:826]    NG Small Img Num = 20
[2020-01-07 15:09:05:826]    current Img ProductID = êgå
[2020-01-07 15:09:05:826]    NG Small Img Num = 21
[2020-01-07 15:09:05:826]    current Img ProductID = êgå
[2020-01-07 15:09:05:826]    NG Small Img Num = 22
[2020-01-07 15:09:05:826]    current Img ProductID = êgå
[2020-01-07 15:09:05:826]    NG Small Img Num = 23
[2020-01-07 15:09:05:826]    current Img ProductID = êgå
[2020-01-07 15:09:05:826]    NG Small Img Num = 24
[2020-01-07 15:09:05:826]    current Img ProductID = êgå
[2020-01-07 15:09:05:826]    NG Small Img Num = 25
[2020-01-07 15:09:05:826]    current Img ProductID = êgå
[2020-01-07 15:09:05:826]    NG Small Img Num = 26
[2020-01-07 15:09:05:826]    current Img ProductID = êgå
[2020-01-07 15:09:05:826]    NG Small Img Num = 27
[2020-01-07 15:09:05:826]    current Img ProductID = êgå
[2020-01-07 15:09:05:826]    NG Small Img Num = 28
[2020-01-07 15:09:05:826]    current Img ProductID = êgå
[2020-01-07 15:09:05:827]    NG Small Img Num = 29
[2020-01-07 15:09:05:827]    current Img ProductID = êgå
[2020-01-07 15:09:05:827]    NG Small Img Num = 30
[2020-01-07 15:09:05:827]    current Img ProductID = êgå
[2020-01-07 15:09:05:827]    NG Small Img Num = 31
[2020-01-07 15:09:05:827]    current Img ProductID = êgå
[2020-01-07 15:09:05:827]    NG Small Img Num = 32
[2020-01-07 15:09:05:827]    current Img ProductID = êgå
[2020-01-07 15:09:05:827]    NG Small Img Num = 33
[2020-01-07 15:09:05:827]    current Img ProductID = êgå
[2020-01-07 15:09:05:827]    NG Small Img Num = 34
[2020-01-07 15:09:05:827]    current Img ProductID = êgå
[2020-01-07 15:09:05:827]    NG Small Img Num = 35
[2020-01-07 15:09:05:827]    current Img ProductID = êgå
[2020-01-07 15:09:05:827]    NG Small Img Num = 36
[2020-01-07 15:09:05:827]    current Img ProductID = êgå
[2020-01-07 15:09:05:828]    NG Small Img Num = 37
[2020-01-07 15:09:05:828]    current Img ProductID = êgå
[2020-01-07 15:09:05:828]    NG Small Img Num = 38
[2020-01-07 15:09:05:828]    current Img ProductID = êgå
[2020-01-07 15:09:05:828]    NG Small Img Num = 39
[2020-01-07 15:09:05:828]    current Img ProductID = êgå
[2020-01-07 15:09:05:828]    NG Small Img Num = 40
[2020-01-07 15:09:05:828]    current Img ProductID = êgå
[2020-01-07 15:09:05:828]    NG Small Img Num = 41
[2020-01-07 15:09:05:828]    current Img ProductID = êgå
[2020-01-07 15:09:05:828]    NG Small Img Num = 42
[2020-01-07 15:09:05:828]    current Img ProductID = êgå
[2020-01-07 15:09:05:829]    NG Small Img Num = 43
[2020-01-07 15:09:05:829]    current Img ProductID = êgå
[2020-01-07 15:09:05:829]    NG Small Img Num = 44
[2020-01-07 15:09:05:829]    current Img ProductID = êgå
[2020-01-07 15:09:05:829]    NG Small Img Num = 45
[2020-01-07 15:09:05:829]    current Img ProductID = êgå
[2020-01-07 15:09:05:829]    NG Small Img Num = 46
[2020-01-07 15:09:05:829]    current Img ProductID = êgå
[2020-01-07 15:09:05:829]    NG Small Img Num = 47
[2020-01-07 15:09:05:829]    current Img ProductID = êgå
[2020-01-07 15:09:05:829]    NG Small Img Num = 48
[2020-01-07 15:09:05:829]    current Img ProductID = êgå
[2020-01-07 15:09:05:830]    NG Small Img Num = 49
[2020-01-07 15:09:05:830]    current Img ProductID = êgå
[2020-01-07 15:09:05:830]    NG Small Img Num = 50
[2020-01-07 15:09:05:830]    current Img ProductID = êgå
[2020-01-07 15:09:05:830]    NG Small Img Num = 51
[2020-01-07 15:09:05:830]    current Img ProductID = êgå
[2020-01-07 15:09:05:830]    NG Small Img Num = 52
[2020-01-07 15:09:05:830]    current Img ProductID = êgå
[2020-01-07 15:09:05:830]    NG Small Img Num = 53
[2020-01-07 15:09:05:830]    current Img ProductID = êgå
[2020-01-07 15:09:05:830]    NG Small Img Num = 54
[2020-01-07 15:09:05:830]    current Img ProductID = êgå
[2020-01-07 15:09:05:831]    NG Small Img Num = 55
[2020-01-07 15:09:05:831]    current Img ProductID = êgå
[2020-01-07 15:09:05:831]    NG Small Img Num = 56
[2020-01-07 15:09:05:831]    current Img ProductID = êgå
[2020-01-07 15:09:05:831]    NG Small Img Num = 57
[2020-01-07 15:09:05:831]    current Img ProductID = êgå
[2020-01-07 15:09:05:831]    NG Small Img Num = 58
[2020-01-07 15:09:05:831]    current Img ProductID = êgå
[2020-01-07 15:09:05:831]    NG Small Img Num = 59
[2020-01-07 15:09:05:831]    current Img ProductID = êgå
[2020-01-07 15:09:05:831]    NG Small Img Num = 60
[2020-01-07 15:09:05:831]    current Img ProductID = êgå
[2020-01-07 15:09:05:832]    NG Small Img Num = 61
[2020-01-07 15:09:05:832]    current Img ProductID = êgå
[2020-01-07 15:09:05:832]    NG Small Img Num = 62
[2020-01-07 15:09:05:832]    current Img ProductID = êgå
[2020-01-07 15:09:05:832]    NG Small Img Num = 63
[2020-01-07 15:09:05:832]    current Img ProductID = êgå
[2020-01-07 15:09:05:832]    NG Small Img Num = 64
[2020-01-07 15:09:05:832]    current Img ProductID = êgå
[2020-01-07 15:09:05:832]    NG Small Img Num = 65
[2020-01-07 15:09:05:832]    current Img ProductID = êgå
[2020-01-07 15:09:05:832]    NG Small Img Num = 66
[2020-01-07 15:09:05:832]    current Img ProductID = êgå
[2020-01-07 15:09:05:832]    NG Small Img Num = 67
[2020-01-07 15:09:05:832]    current Img ProductID = êgå
[2020-01-07 15:09:05:832]    NG Small Img Num = 68
[2020-01-07 15:09:05:832]    current Img ProductID = êgå
[2020-01-07 15:09:05:832]    NG Small Img Num = 69
[2020-01-07 15:09:05:832]    current Img ProductID = êgå
[2020-01-07 15:09:05:833]    NG Small Img Num = 70
[2020-01-07 15:09:05:833]    current Img ProductID = êgå
[2020-01-07 15:09:05:833]    NG Small Img Num = 71
[2020-01-07 15:09:05:833]    current Img ProductID = êgå
[2020-01-07 15:09:05:833]    NG Small Img Num = 72
[2020-01-07 15:09:05:833]    current Img ProductID = êgå
[2020-01-07 15:09:05:833]    NG Small Img Num = 73
[2020-01-07 15:09:05:833]    current Img ProductID = êgå
[2020-01-07 15:09:05:833]    NG Small Img Num = 74
[2020-01-07 15:09:05:833]    current Img ProductID = êgå
[2020-01-07 15:09:05:833]    NG Small Img Num = 75
[2020-01-07 15:09:05:833]    current Img ProductID = êgå
[2020-01-07 15:09:05:833]    NG Small Img Num = 76
[2020-01-07 15:09:05:833]    current Img ProductID = êgå
[2020-01-07 15:09:05:833]    NG Small Img Num = 77
[2020-01-07 15:09:05:833]    current Img ProductID = êgå
[2020-01-07 15:09:05:833]    NG Small Img Num = 78
[2020-01-07 15:09:05:833]    current Img ProductID = êgå
[2020-01-07 15:09:05:833]    NG Small Img Num = 79
[2020-01-07 15:09:05:833]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 80
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 81
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 82
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 83
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 84
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 85
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 86
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 87
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 88
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 89
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 90
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 91
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:834]    NG Small Img Num = 92
[2020-01-07 15:09:05:834]    current Img ProductID = êgå
[2020-01-07 15:09:05:835]    NG Small Img Num = 93
[2020-01-07 15:09:05:835]    current Img ProductID = êgå
[2020-01-07 15:09:05:835]    NG Small Img Num = 94
[2020-01-07 15:09:05:835]    current Img ProductID = êgå
[2020-01-07 15:09:05:835]    NG Small Img Num = 95
[2020-01-07 15:09:05:835]    current Img ProductID = êgå
[2020-01-07 15:09:05:835]    NG Small Img Num = 96
[2020-01-07 15:09:05:835]    current Img ProductID = êgå
[2020-01-07 15:09:05:835]    NG Small Img Num = 97
[2020-01-07 15:09:05:835]    current Img ProductID = êgå
[2020-01-07 15:09:05:835]    NG Small Img Num = 98
[2020-01-07 15:09:05:835]    current Img ProductID = êgå
[2020-01-07 15:09:05:835]    NG Small Img Num = 99
[2020-01-07 15:09:05:835]    current Img ProductID = êgå
[2020-01-07 15:09:05:845]   Ω·π˚ºÏ≤‚…∏—°Ω· ¯ 
[2020-01-07 15:09:05:848]    bmp_new_name =  D:\Image\ITO\1912301341_A_01_0001\OriginalNG\123123_120201715849_NG.bmp
[2020-01-07 15:09:05:851]   ø™ º±£¥ÊNG-bmp‘≠Õº 
[2020-01-07 15:09:06:127]   ±£¥ÊNG-bmp‘≠ÕºΩ· ¯ 
[2020-01-07 15:09:06:623]   ø™ º±£¥Êjpg—πÀıÕº 
[2020-01-07 15:09:08:587]   Ω· ¯±£¥Êjpg—πÀıÕº 
[2020-01-07 15:09:08:590]   Sending message data : #123123_120201715849#100#0#1@ 
[2020-01-07 15:09:08:592]   ..........next ...... 
[2020-01-07 15:12:45:381]   Start Server Succeed 
[2020-01-07 15:12:45:382]   Listen Succeed 
[2020-01-07 15:13:50:585]   Start Server Succeed 
[2020-01-07 15:13:50:587]   Listen Succeed 
